id,title,office,publish,stage
12431db2355fd139,包头市专利促进与保护条例,包头市人民代表大会常务委员会,2009/5/22,地方性法规
f8a955c82ab8dab9,杭州市专利管理条例,杭州市人民代表大会常务委员会,2005/11/25,地方性法规
37351d9c2234c683,长春市专利管理条例,长春市人民代表大会常务委员会,2004/10/1,地方性法规
cce5a5cb6bb0a41f,上海市专利保护条例,上海市人民代表大会常务委员会,,地方性法规
4162b4586cf42163,黑龙江省专利保护条例,黑龙江省人民代表大会常务委员会,,地方性法规
fadb9ac54fda0a13,太原市促进专利转化办法,太原市人民代表大会常务委员会,,地方性法规
8a76c4853e089306,北京市专利保护和促进条例,北京市人民代表大会常务委员会,,地方性法规
4dc78f515735cdb4,四川省专利保护条例,四川省人民代表大会常务委员会,,地方性法规
e58dd25d0566cd5b,福建省专利促进与保护条例,福建省人民代表大会常务委员会,,地方性法规
5dcf8a472edc66c2,福州市专利保护与促进若干规定,福州市人民代表大会常务委员会,,地方性法规
ed89d42c57edc795,新疆维吾尔自治区专利促进与保护条例,新疆维吾尔自治区人大常务委员会,,地方性法规
7e6a7ecefaaa3f19,中华人民共和国植物新品种保护条例,国务院,2014/7/29,行政法规
3d608078b625744d,最高人民法院关于审理侵害植物新品种权纠纷案件具体应用法律问题的若干规定（二）,最高人民法院,2021/7/5,司法解释
dda055166f0c13e6,最高人民法院关于审理植物新品种纠纷案件若干问题的解释,最高人民法院,2020/12/29,司法解释
6fe5192ea6223a6e,最高人民法院关于审理侵害植物新品种权纠纷案件具体应用法律问题的若干规定,最高人民法院,2020/12/29,司法解释
08544cf056f18a67,云南省园艺植物新品种注册保护条例,云南省人民代表大会常务委员会,2021/9/29,地方性法规
4ff75467a0a6f3a2,计算机软件保护条例,国务院,2013/1/30,行政法规
c2a261225b0ebca9,信息网络传播权保护条例,国务院,2013/1/30,行政法规
fae224424a3ade4c,最高人民法院关于审理侵害信息网络传播权民事纠纷案件适用法律若干问题的规定,最高人民法院,2020/12/29,司法解释
7d2f9bfc5af9bdd0,集成电路布图设计保护条例,国务院,2001/4/2,行政法规
a14631f75308ea8e,广东省版权条例,广东省人民代表大会常务委员会,2022/9/29,地方性法规
a07b3aeef2689625,最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定,最高人民法院,2020/9/10,司法解释
31d417dafe49cf05,温州市企业商业秘密保护规定,温州市人民代表大会常务委员会,2024/10/8,地方性法规
85edd802bc4c1fda,奥林匹克标志保护条例,国务院,2018/6/28,行政法规
7ce5108dd9df7485,世界博览会标志保护条例,国务院,2004/10/20,行政法规
699e1ec9dde66295,淮安市地理标志促进和保护条例,淮安市人民代表大会常务委员会,2024/6/5,地方性法规
399623ca22deea66,广东省地理标志条例,广东省人民代表大会常务委员会,2022/11/30,地方性法规
514dc33574985ad6,杭州老字号传承与发展条例,杭州市人民代表大会常务委员会,2024/6/4,地方性法规
39ebf222ae670912,厦门老字号保护发展办法,厦门市人民代表大会常务委员会,2016/12/6,地方性法规
4a006186e37ed0ae,最高人民法院关于审理涉及计算机网络域名民事纠纷案件适用法律若干问题的解释,最高人民法院,2020/12/29,司法解释
6be452df3d522a9c,中药品种保护条例,国务院,2018/9/18,行政法规
bbb1feb62e98bce0,重庆市工业设计促进条例,重庆市人民代表大会常务委员会,2024/9/26,地方性法规
b08a8b2c09837689,中华人民共和国民法典,全国人民代表大会,2020/5/28,法律
328841d38cdc4d47,出版管理条例,国务院,2020/11/29,行政法规
b7ec945fcfa5a050,法规汇编编辑出版管理规定,国务院,2019/3/2,行政法规
a94f42586050adc0,最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释（二）,最高人民法院、最高人民检察院,2010/2/2,司法解释
09b26fdfc4cde80c,最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释,最高人民法院、最高人民检察院,2004/9/3,司法解释
a8f8206918ca326d,最高人民法院关于审理非法出版物刑事案件具体应用法律若干问题的解释,最高人民法院,1998/12/17,司法解释
873baa0b8616d9c7,上海市出版物发行管理条例,上海市人民代表大会常务委员会,2021/8/25,地方性法规
86c5e7c169533ea7,辽宁省出版管理规定,辽宁省人民代表大会常务委员会,2020/4/1,地方性法规
1f29e646524382a3,青海省出版物发行管理条例,青海省人民代表大会常务委员会,2019/7/31,地方性法规
0dece41bd5491d76,天津市电子出版物管理条例,天津市人民代表大会常务委员会,2005/7/20,地方性法规
1d83a664e6b26231,江西省出版监督管理条例,江西省人民代表大会常务委员会,2005/5/27,地方性法规
52f1384b5d157870,云南省出版管理条例,云南省人民代表大会常务委员会,,地方性法规
f50f63b3773edf86,音像制品管理条例,国务院,2020/11/29,行政法规
ac372d62d12ae02a,上海市音像制品管理条例,上海市人民代表大会常务委员会,2024/12/31,地方性法规
0c933b84eb34fec2,中华人民共和国宪法修正案（2018年）,全国人民代表大会,2018/3/11,宪法
23f520bc19db05e7,中华人民共和国宪法（2018年修正文本）,全国人民代表大会,2018/3/11,宪法
9e45d69393f58974,中华人民共和国宪法修正案（2004年）,全国人民代表大会,2004/3/14,宪法
5946fb0a1bc2b5ec,中华人民共和国宪法修正案（1999年）,全国人民代表大会,1999/3/15,宪法
062bd3b99741dbe5,中华人民共和国宪法修正案（1993年）,全国人民代表大会,1993/3/29,宪法
06c936d469a5849c,中华人民共和国宪法修正案（1988年）,全国人民代表大会,1988/4/12,宪法
aa9c7fa9d62b5c26,中华人民共和国宪法（1982年）,全国人民代表大会,1982/12/4,宪法
c6c1a218627a7cc9,中华人民共和国立法法,全国人民代表大会,2023/3/13,法律
16d38199fe3958bc,中华人民共和国法官法,全国人民代表大会常务委员会,2019/4/23,法律
2e5f9f023118083f,中华人民共和国检察官法,全国人民代表大会常务委员会,2019/4/23,法律
ca49112e3a9d001d,中华人民共和国人民法院组织法,全国人民代表大会,2018/10/26,法律
d35fca3784c468f5,中华人民共和国人民检察院组织法,全国人民代表大会,2018/10/26,法律
a7e288e2f7bcad04,中华人民共和国公司法,全国人民代表大会常务委员会,2023/12/29,法律
03011d8f81be7eb1,中华人民共和国电子签名法,全国人民代表大会常务委员会,2019/4/23,法律
fa3dddcd915c87a0,中华人民共和国招标投标法,全国人民代表大会常务委员会,2017/12/27,法律
9b3dd89c74262b9e,中华人民共和国保险法,全国人民代表大会常务委员会,2015/4/24,法律
811b5477cdd8462c,中华人民共和国消费者权益保护法,全国人民代表大会常务委员会,2013/10/25,法律
e06a6e011bcc7cc9,中华人民共和国行政复议法,全国人民代表大会常务委员会,2023/9/1,法律
4442352d1b9c0af2,中华人民共和国行政处罚法,全国人民代表大会,2021/1/22,法律
5ac6c952636dc1cd,中华人民共和国行政许可法,全国人民代表大会常务委员会,2019/4/23,法律
